pmu_id,tu_id,hmu_id,tipo_tu,tipo_hmu,area_ha,volumen_m3,prioridad_pmu,accion_pmu
1,1,3,Conservación hídrica,Conservación hídrica,14.423966387136485,2337.843306930162,Media,Conservación/restauración hídrica
2,3,22,Conservación hídrica,Conservación hídrica,13.364991639735706,4370.123870765025,Alta,Conservación/restauración hídrica
3,5,22,Conservación hídrica,Conservación hídrica,29.505227445131297,4370.123870765025,Alta,Conservación/restauración hídrica
4,41,25,Recarga / infiltración,Conservación hídrica,1.0224583768076565,5690.593506342884,Muy alta,Zanjas de infiltración / recarga hídrica
5,62,48,Conservación hídrica,Conservación hídrica,3.615120689444858,4010.616675469423,Alta,Conservación/restauración hídrica
6,71,19,Recarga / infiltración,Conservación hídrica,0.8398765238062841,1586.701847407227,Baja,Zanjas de infiltración / recarga hídrica
7,81,32,Recarga / infiltración,Conservación hídrica,2.1179494948158557,2815.7708439955086,Media,Zanjas de infiltración / recarga hídrica
8,82,20,Conservación hídrica,Conservación hídrica,77.92593486130727,1392.0188227268177,Baja,Conservación/restauración hídrica
9,82,3,Conservación hídrica,Conservación hídrica,100.85821559843932,2337.843306930162,Media,Conservación/restauración hídrica
10,82,9,Conservación hídrica,Conservación hídrica,97.71780772673054,1748.1040439059163,Baja,Conservación/restauración hídrica
11,82,15,Conservación hídrica,Conservación hídrica,87.09154388194061,3466.7950678364627,Alta,Conservación/restauración hídrica
12,82,22,Conservación hídrica,Conservación hídrica,32.02485701656794,4370.123870765025,Alta,Conservación/restauración hídrica
13,82,47,Conservación hídrica,Conservación hídrica,65.32778700412408,2853.0655309065605,Media,Conservación/restauración hídrica
14,82,46,Conservación hídrica,Conservación hídrica,55.28578508911305,1685.1194756773355,Baja,Conservación/restauración hídrica
15,82,19,Conservación hídrica,Conservación hídrica,65.3643033747956,1586.701847407227,Baja,Conservación/restauración hídrica
16,82,27,Conservación hídrica,Conservación hídrica,66.67889271634846,2196.9762064580227,Media,Conservación/restauración hídrica
17,82,40,Conservación hídrica,Conservación hídrica,61.27446986747604,2750.4654067131887,Media,Conservación/restauración hídrica
18,90,41,Conservación hídrica,Conservación hídrica,2.008400383047088,1100.7893780066247,Baja,Conservación/restauración hídrica
19,93,34,Conservación hídrica,Conservación hídrica,52.98525374127799,2157.06952763752,Media,Conservación/restauración hídrica
20,93,25,Conservación hídrica,Conservación hídrica,47.87296185714356,5690.593506342884,Muy alta,Conservación/restauración hídrica
21,93,13,Conservación hídrica,Conservación hídrica,87.12806025261567,5142.864081258491,Muy alta,Conservación/restauración hídrica
