tu_id,class_id,tipo_tu,area_m2,area_ha
1,1,Conservación hídrica,144239.66387136478,14.423966387136478
2,2,Recarga / infiltración,189885.1271220636,18.988512712206358
3,1,Conservación hídrica,166149.48623160063,16.614948623160064
4,1,Conservación hídrica,368815.34306429216,36.88153430642922
5,1,Conservación hídrica,627351.246915403,62.73512469154031
6,1,Conservación hídrica,2516708.2617812003,251.67082617812002
7,2,Recarga / infiltración,158481.04840543552,15.848104840543552
8,2,Recarga / infiltración,379039.9268325479,37.903992683254785
9,2,Recarga / infiltración,1234983.6537053073,123.49836537053073
10,2,Recarga / infiltración,117582.71333320122,11.758271333320122
11,3,Producción agrohidrológica,117217.54962744736,11.721754962744736
12,3,Producción agrohidrológica,344714.53846789827,34.47145384678983
13,2,Recarga / infiltración,215081.42283628677,21.508142283628676
14,2,Recarga / infiltración,138762.20828175108,13.876220828175109
15,2,Recarga / infiltración,153368.7565215755,15.33687565215755
16,2,Recarga / infiltración,169070.7958805476,16.90707958805476
17,2,Recarga / infiltración,134015.080103502,13.4015080103502
18,2,Recarga / infiltración,119043.36815746101,11.9043368157461
19,3,Producción agrohidrológica,207047.82130415572,20.704782130415573
20,3,Producción agrohidrológica,102976.16509309177,10.297616509309178
21,4,Manejo urbano,208873.6398340625,20.88736398340625
22,3,Producción agrohidrológica,214351.09542428123,21.435109542428123
23,1,Conservación hídrica,219828.55101467873,21.982855101467873
24,3,Producción agrohidrológica,391455.49283671164,39.145549283671166
25,3,Producción agrohidrológica,215446.5865425389,21.54465865425389
26,3,Producción agrohidrológica,262552.7046166782,26.255270461667816
27,3,Producción agrohidrológica,188059.30859229845,18.805930859229846
28,2,Recarga / infiltración,324995.69834417757,32.499569834417755
29,2,Recarga / infiltración,205952.33018621893,20.595233018621894
30,2,Recarga / infiltración,129267.95192543071,12.926795192543072
31,3,Producción agrohidrológica,5010411.210082751,501.04112100827507
32,3,Producción agrohidrológica,138397.0445752857,13.839704457528569
33,2,Recarga / infiltración,194997.4190056738,19.49974190056738
34,2,Recarga / infiltración,114296.23997960285,11.429623997960284
35,2,Recarga / infiltración,125251.15115950757,12.525115115950758
36,3,Producción agrohidrológica,375388.2897717371,37.538828977173715
37,3,Producción agrohidrológica,127442.133395773,12.7442133395773
38,3,Producción agrohidrológica,163593.3402899012,16.359334028990123
39,3,Producción agrohidrológica,142048.68163552642,14.204868163552641
40,1,Conservación hídrica,335585.44581754407,33.558544581754404
41,2,Recarga / infiltración,142779.00904770993,14.277900904770993
42,2,Recarga / infiltración,211429.78577618834,21.142978577618834
43,2,Recarga / infiltración,130728.60674961962,13.072860674961962
44,3,Producción agrohidrológica,252328.120848993,25.2328120848993
45,1,Conservación hídrica,137301.55345741977,13.730155345741977
46,3,Producción agrohidrológica,111374.93033140343,11.137493033140343
47,1,Conservación hídrica,123790.49633563934,12.379049633563934
48,3,Producción agrohidrológica,567099.2354246312,56.709923542463116
49,2,Recarga / infiltración,317692.4242237675,31.76924242237675
50,1,Conservación hídrica,389994.8380126288,38.999483801262876
51,1,Conservación hídrica,455724.3050937263,45.57243050937263
52,3,Producción agrohidrológica,1460289.6603111275,146.02896603111276
53,1,Conservación hídrica,143509.33646007135,14.350933646007135
54,2,Recarga / infiltración,115026.56739175116,11.502656739175116
55,3,Producción agrohidrológica,857404.3816986921,85.74043816986921
56,2,Recarga / infiltración,176739.23370599933,17.673923370599933
57,3,Producción agrohidrológica,188059.3085924408,18.80593085924408
58,1,Conservación hídrica,344714.5384678267,34.471453846782666
59,2,Recarga / infiltración,101515.51026925865,10.151551026925866
60,1,Conservación hídrica,299434.23892391525,29.943423892391525
61,2,Recarga / infiltración,133284.7526916386,13.32847526916386
62,1,Conservación hídrica,155194.57505183842,15.519457505183842
63,1,Conservación hídrica,535329.9930028914,53.53299930028914
64,2,Recarga / infiltración,216176.91395411728,21.61769139541173
65,3,Producción agrohidrológica,366624.3608282409,36.662436082824094
66,3,Producción agrohidrológica,398393.60325076396,39.8393603250764
67,2,Recarga / infiltración,252693.2845554588,25.26932845554588
68,2,Recarga / infiltración,101880.67397476295,10.188067397476294
69,1,Conservación hídrica,182216.68929564918,18.221668929564917
70,2,Recarga / infiltración,142048.68163538404,14.204868163538404
71,2,Recarga / infiltración,1804639.0350713835,180.46390350713835
72,1,Conservación hídrica,134745.40751557864,13.474540751557864
73,2,Recarga / infiltración,186233.49006214208,18.62334900621421
74,3,Producción agrohidrológica,100054.8554454256,10.005485544542559
75,1,Conservación hídrica,104436.81991696006,10.443681991696005
76,2,Recarga / infiltración,165419.15882023526,16.541915882023527
77,3,Producción agrohidrológica,316231.76939943613,31.623176939943612
78,1,Conservación hídrica,2090562.2168741613,209.05622168741613
79,2,Recarga / infiltración,161402.3580543837,16.14023580543837
80,1,Conservación hídrica,161767.52175928268,16.176752175928268
81,2,Recarga / infiltración,152273.26540335405,15.227326540335405
82,1,Conservación hídrica,33091500.20180314,3309.150020180314
83,3,Producción agrohidrológica,146795.80981370446,14.679580981370446
84,3,Producción agrohidrológica,139492.53569357868,13.949253569357868
85,1,Conservación hídrica,229322.8073701085,22.93228073701085
86,2,Recarga / infiltración,205587.1664799317,20.558716647993172
87,2,Recarga / infiltración,141683.51792973749,14.168351792973748
88,1,Conservación hídrica,264743.6868527295,26.474368685272946
89,3,Producción agrohidrológica,336680.93693658593,33.66809369365859
90,1,Conservación hídrica,124885.98745361158,12.488598745361159
91,1,Conservación hídrica,104436.81991717365,10.443681991717364
92,1,Conservación hídrica,255979.75790845093,25.597975790845094
93,1,Conservación hídrica,16788036.21983712,1678.8036219837122
94,1,Conservación hídrica,696732.3510553879,69.6732351055388
95,1,Conservación hídrica,304911.69451384945,30.491169451384945
96,3,Producción agrohidrológica,661311.4715737281,66.13114715737281
97,1,Conservación hídrica,100420.01915075212,10.042001915075213
98,1,Conservación hídrica,264378.52314629976,26.437852314629975
99,1,Conservación hídrica,750411.4158396064,75.04114158396064
100,3,Producción agrohidrológica,438561.6109112413,43.856161091124136
101,3,Producción agrohidrológica,128172.4608076001,12.817246080760011
102,1,Conservación hídrica,102976.16509277101,10.297616509277102
103,2,Recarga / infiltración,282636.70844718436,28.263670844718437
104,2,Recarga / infiltración,695636.8599377375,69.56368599377375
105,2,Recarga / infiltración,116122.05850933262,11.612205850933263
106,1,Conservación hídrica,217637.5687783776,21.76375687783776
107,2,Recarga / infiltración,232244.11701909205,23.224411701909204
108,3,Producción agrohidrológica,199014.21977195295,19.901421977195294
109,3,Producción agrohidrológica,123060.16892313518,12.306016892313517
110,1,Conservación hídrica,145700.31869573172,14.570031869573173
111,1,Conservación hídrica,104801.98362353226,10.480198362353226
112,2,Recarga / infiltración,119043.36815689145,11.904336815689145
113,1,Conservación hídrica,568559.890248536,56.8559890248536
114,2,Recarga / infiltración,807376.9539760693,80.73769539760693
115,1,Conservación hídrica,157020.39358181664,15.702039358181663
116,1,Conservación hídrica,163228.17658443263,16.322817658443263
117,2,Recarga / infiltración,316231.7693998632,31.62317693998632
118,2,Recarga / infiltración,334489.95470021374,33.44899547002137
119,2,Recarga / infiltración,344714.5384680768,34.47145384680768
120,3,Producción agrohidrológica,608727.8979089068,60.87278979089068
121,2,Recarga / infiltración,4074861.795300397,407.4861795300397
122,3,Producción agrohidrológica,225671.17031100698,22.567117031100697
123,3,Producción agrohidrológica,205222.0027744627,20.52220027744627
124,4,Manejo urbano,116487.2222153351,11.648722221533511
125,3,Producción agrohidrológica,438196.447205062,43.819644720506204
126,1,Conservación hídrica,168340.46846772332,16.83404684677233
127,1,Conservación hídrica,207412.98501054978,20.741298501054978
128,1,Conservación hídrica,1118131.2677851797,111.81312677851797
129,3,Producción agrohidrológica,223845.35178085102,22.384535178085102
130,3,Producción agrohidrológica,213985.9317185638,21.39859317185638
131,1,Conservación hídrica,276428.9254448183,27.64289254448183
132,2,Recarga / infiltración,403140.73142879835,40.314073142879835
133,1,Conservación hídrica,415556.2974328558,41.55562974328558
134,2,Recarga / infiltración,122695.00521759497,12.269500521759497
135,4,Manejo urbano,363337.8874742869,36.33378874742869
136,2,Recarga / infiltración,101515.51026922278,10.151551026922277
137,2,Recarga / infiltración,101515.51026890245,10.151551026890244
138,2,Recarga / infiltración,106262.63844779244,10.626263844779244
139,3,Producción agrohidrológica,120504.02298161446,12.050402298161446
140,1,Conservación hídrica,138762.20828221398,13.876220828221397
141,3,Producción agrohidrológica,100785.18285764464,10.078518285764464
142,2,Recarga / infiltración,150812.6105793427,15.08126105793427
143,2,Recarga / infiltración,196458.07383050327,19.64580738305033
144,1,Conservación hídrica,908527.3005378277,90.85273005378276
145,3,Producción agrohidrológica,227496.98884091357,22.74969888409136
146,4,Manejo urbano,148621.62834382482,14.862162834382483
147,3,Producción agrohidrológica,384882.5461282703,38.48825461282703
148,4,Manejo urbano,277524.41656360874,27.752441656360872
149,4,Manejo urbano,197918.72865405158,19.791872865405157
150,3,Producción agrohidrológica,102976.16509330514,10.297616509330513
151,3,Producción agrohidrológica,122329.84151091638,12.232984151091637
152,1,Conservación hídrica,413000.15149062354,41.300015149062354
153,4,Manejo urbano,253058.44826089122,25.30584482608912
154,3,Producción agrohidrológica,115391.73109739806,11.539173109739806
155,3,Producción agrohidrológica,318057.5879297697,31.80575879297697
156,3,Producción agrohidrológica,310023.98639795906,31.002398639795906
157,3,Producción agrohidrológica,904145.3360665776,90.41453360665776
158,4,Manejo urbano,113931.07627313802,11.393107627313803
159,2,Recarga / infiltración,227131.82513437717,22.713182513437715
160,4,Manejo urbano,125251.1511599702,12.525115115997021
161,3,Producción agrohidrológica,222019.53324973365,22.201953324973363
162,4,Manejo urbano,224940.84289832506,22.494084289832507
163,3,Producción agrohidrológica,137666.71716317345,13.766671716317346
164,4,Manejo urbano,346175.19329180283,34.61751932918028
165,1,Conservación hídrica,596677.4956104964,59.66774956104964
166,4,Manejo urbano,108818.7843892776,10.88187843892776
167,2,Recarga / infiltración,767208.9463154799,76.72089463154799
168,2,Recarga / infiltración,661311.4715735147,66.13114715735148
169,3,Producción agrohidrológica,159211.37581719228,15.921137581719227
170,4,Manejo urbano,117217.54962723367,11.721754962723368
171,3,Producción agrohidrológica,128537.62451406609,12.85376245140661
172,3,Producción agrohidrológica,212890.440600413,21.289044060041302
173,3,Producción agrohidrológica,310023.9863974605,31.00239863974605
174,3,Producción agrohidrológica,345810.0295865468,34.58100295865468
175,2,Recarga / infiltración,564908.2531887223,56.49082531887223
176,3,Producción agrohidrológica,722293.8104764691,72.22938104764691
177,3,Producción agrohidrológica,410444.00554867566,41.044400554867565
178,2,Recarga / infiltración,190250.2908283856,19.02502908283856
179,1,Conservación hídrica,546284.904182369,54.6284904182369
180,4,Manejo urbano,374657.96236037184,37.465796236037185
181,4,Manejo urbano,113200.74886148816,11.320074886148817
182,4,Manejo urbano,479459.94598251604,47.9459945982516
183,3,Producción agrohidrológica,143874.5001657537,14.38745001657537
184,4,Manejo urbano,165784.32252584677,16.578432252584676
185,4,Manejo urbano,106627.80215301207,10.662780215301208
186,2,Recarga / infiltración,107723.29327105584,10.772329327105584
187,4,Manejo urbano,250867.46602512442,25.08674660251244
188,3,Producción agrohidrológica,255249.4304965161,25.52494304965161
189,4,Manejo urbano,148256.46463789337,14.825646463789337
190,3,Producción agrohidrológica,304546.5308076687,30.45465308076687
191,3,Producción agrohidrológica,236626.08149034125,23.662608149034124
192,2,Recarga / infiltración,378309.5994201501,37.830959942015014
193,1,Conservación hídrica,101880.67397522596,10.188067397522596
194,4,Manejo urbano,112105.25774312425,11.210525774312424
195,3,Producción agrohidrológica,139492.53569386344,13.949253569386343
196,1,Conservación hídrica,3588098.57519614,358.809857519614
197,3,Producción agrohidrológica,2790581.041284208,279.05810412842084
198,1,Conservación hídrica,118678.20445113796,11.867820445113797
199,3,Producción agrohidrológica,350191.9940576906,35.01919940576906
200,1,Conservación hídrica,188059.3085919778,18.80593085919778
201,3,Producción agrohidrológica,1319336.469792149,131.9336469792149
202,2,Recarga / infiltración,106262.63844704498,10.626263844704498
203,4,Manejo urbano,188059.308591907,18.8059308591907
204,3,Producción agrohidrológica,942487.5251965463,94.24875251965463
205,2,Recarga / infiltración,167610.14105550433,16.761014105550434
206,3,Producción agrohidrológica,232609.2807248453,23.260928072484532
207,2,Recarga / infiltración,517802.13511433237,51.78021351143324
208,4,Manejo urbano,213985.93171831456,21.398593171831457
209,5,Drenaje / regulación,112835.5851549162,11.28355851549162
210,2,Recarga / infiltración,2063174.9389228134,206.31749389228133
211,2,Recarga / infiltración,129267.95192564446,12.926795192564446
212,3,Producción agrohidrológica,132189.2615737016,13.218926157370161
213,3,Producción agrohidrológica,253788.77567268332,25.378877567268333
214,1,Conservación hídrica,121964.67780544833,12.196467780544832
215,1,Conservación hídrica,156290.06617023802,15.629006617023801
216,2,Recarga / infiltración,222019.53325037487,22.201953325037486
217,3,Producción agrohidrológica,479094.78227697633,47.90947822769763
218,2,Recarga / infiltración,159941.7032294472,15.994170322944719
219,3,Producción agrohidrológica,118678.20445120952,11.867820445120952
220,2,Recarga / infiltración,125251.15115957856,12.525115115957856
221,1,Conservación hídrica,230783.46219508088,23.078346219508088
222,4,Manejo urbano,2135477.352713103,213.5477352713103
223,3,Producción agrohidrológica,147891.30093167705,14.789130093167705
224,3,Producción agrohidrológica,311484.64122168627,31.148464122168626
225,4,Manejo urbano,234435.0992547524,23.44350992547524
226,2,Recarga / infiltración,222019.53325080097,22.201953325080098
227,4,Manejo urbano,170531.4507044518,17.05314507044518
228,2,Recarga / infiltración,312214.9686337261,31.22149686337261
229,4,Manejo urbano,101880.67397508388,10.188067397508387
230,3,Producción agrohidrológica,194267.09159413172,19.42670915941317
231,2,Recarga / infiltración,293956.7833334838,29.39567833334838
232,2,Recarga / infiltración,123060.16892405976,12.306016892405976
233,4,Manejo urbano,200474.87459624917,20.047487459624918
234,2,Recarga / infiltración,196823.23753654122,19.68232375365412
235,2,Recarga / infiltración,108818.78438952667,10.881878438952667
236,3,Producción agrohidrológica,127442.13339573747,12.744213339573747
237,2,Recarga / infiltración,620778.3002070335,62.07783002070335
238,2,Recarga / infiltración,273872.77950272796,27.387277950272797
239,2,Recarga / infiltración,591565.2037268495,59.15652037268495
240,3,Producción agrohidrológica,154829.4113454442,15.48294113454442
241,3,Producción agrohidrológica,203031.02053798278,20.303102053798277
242,1,Conservación hídrica,141683.5179294527,14.16835179294527
243,3,Producción agrohidrológica,200109.71088989024,20.010971088989024
244,2,Recarga / infiltración,383421.89130436577,38.34218913043658
245,2,Recarga / infiltración,608362.734202868,60.836273420286794
246,2,Recarga / infiltración,927880.9769570044,92.78809769570044
247,4,Manejo urbano,156290.0661694195,15.62900661694195
248,2,Recarga / infiltración,493701.33051711996,49.370133051711996
249,2,Recarga / infiltración,163593.34029015028,16.359334029015027
250,2,Recarga / infiltración,213620.76801248963,21.362076801248964
251,2,Recarga / infiltración,279715.39879912726,27.971539879912726
252,2,Recarga / infiltración,202665.8568324071,20.26658568324071
253,2,Recarga / infiltración,236626.08149066183,23.662608149066184
254,3,Producción agrohidrológica,624429.9372669187,62.442993726691874
255,5,Drenaje / regulación,208508.47612852306,20.850847612852306
256,4,Manejo urbano,158115.88470000259,15.811588470000258
257,1,Conservación hídrica,108088.45697734348,10.808845697734348
258,3,Producción agrohidrológica,189885.12712223947,18.988512712223947
259,2,Recarga / infiltración,229322.8073713547,22.932280737135468
260,1,Conservación hídrica,134745.40751500914,13.474540751500914
261,2,Recarga / infiltración,117217.54962719814,11.721754962719814
262,2,Recarga / infiltración,189519.96341620106,18.951996341620106
263,2,Recarga / infiltración,629907.3928570307,62.99073928570307
264,2,Recarga / infiltración,879314.2040580363,87.93142040580364
265,3,Producción agrohidrológica,101880.67397486992,10.188067397486991
266,3,Producción agrohidrológica,143874.50016568275,14.387450016568275
267,4,Manejo urbano,121234.35039347732,12.123435039347731
